Letter-num	Errors-Original	Errors-Restored	Psuede-Observations 

18	193	1387	1
18	193	1183	2
18	193	1079	3
18	193	1044	4
18	193	994	5
18	193	987	6
18	193	971	7
18	193	938	8
18	193	908	9
18	193	886	10
18	193	855	11
18	193	786	12
18	193	753	13
18	193	753	14
18	193	736	15
18	193	732	16
18	193	331	17
18	193	326	18
18	193	325	19
18	193	301	20
18	193	291	21
18	193	291	22
18	193	291	23
18	193	236	24
18	193	236	25
18	193	231	26
18	193	203	27
18	193	203	28
18	193	201	29
18	193	201	30
18	193	201	31
18	193	201	32
18	193	201	33
18	193	201	34
18	193	201	35
18	193	198	36
18	193	198	37
18	193	198	38
18	193	196	39
18	193	196	40
18	193	196	41
18	193	196	42
18	193	196	43
18	193	196	44
18	193	196	45
18	193	196	46
18	193	196	47
18	193	196	48
18	193	196	49
18	193	196	50
18	193	196	51
18	193	196	52
18	193	196	53
18	193	193	54
18	193	193	55
18	193	193	56
18	193	193	57
18	193	193	58
18	193	193	59
18	193	193	60
