Letter-num	Errors-Original	Errors-Restored	Psuede-Observations 

9	123	1221	1
9	123	1065	2
9	123	1025	3
9	123	974	4
9	123	921	5
9	123	893	6
9	123	851	7
9	123	833	8
9	123	825	9
9	123	787	10
9	123	755	11
9	123	751	12
9	123	737	13
9	123	726	14
9	123	725	15
9	123	725	16
9	123	719	17
9	123	690	18
9	123	661	19
9	123	662	20
9	123	662	21
9	123	662	22
9	123	662	23
9	123	612	24
9	123	603	25
9	123	275	26
9	123	236	27
9	123	231	28
9	123	231	29
9	123	216	30
9	123	202	31
9	123	202	32
9	123	202	33
9	123	162	34
9	123	162	35
9	123	162	36
9	123	158	37
9	123	146	38
9	123	146	39
9	123	146	40
9	123	126	41
9	123	126	42
9	123	123	43
9	123	123	44
9	123	123	45
9	123	123	46
9	123	123	47
9	123	123	48
9	123	123	49
9	123	123	50
9	123	123	51
9	123	123	52
9	123	123	53
9	123	123	54
9	123	123	55
9	123	123	56
9	123	123	57
9	123	123	58
9	123	123	59
9	123	123	60
