Letter-num	Errors-Original	Errors-Restored	Psuede-Observations 

8	147	1143	1
8	147	1027	2
8	147	942	3
8	147	838	4
8	147	812	5
8	147	761	6
8	147	757	7
8	147	730	8
8	147	723	9
8	147	632	10
8	147	625	11
8	147	614	12
8	147	610	13
8	147	610	14
8	147	388	15
8	147	333	16
8	147	329	17
8	147	330	18
8	147	285	19
8	147	284	20
8	147	282	21
8	147	282	22
8	147	282	23
8	147	252	24
8	147	252	25
8	147	252	26
8	147	243	27
8	147	243	28
8	147	243	29
8	147	243	30
8	147	243	31
8	147	243	32
8	147	242	33
8	147	241	34
8	147	241	35
8	147	239	36
8	147	196	37
8	147	196	38
8	147	196	39
8	147	186	40
8	147	181	41
8	147	178	42
8	147	178	43
8	147	177	44
8	147	147	45
8	147	147	46
8	147	147	47
8	147	147	48
8	147	147	49
8	147	147	50
8	147	147	51
8	147	147	52
8	147	147	53
8	147	147	54
8	147	147	55
8	147	147	56
8	147	147	57
8	147	147	58
8	147	147	59
8	147	147	60
