Letter-num	Errors-Original	Errors-Restored	Psuede-Observations 

16	190	1584	1
16	190	1414	2
16	190	1318	3
16	190	1219	4
16	190	1136	5
16	190	1090	6
16	190	982	7
16	190	903	8
16	190	872	9
16	190	839	10
16	190	800	11
16	190	797	12
16	190	785	13
16	190	779	14
16	190	766	15
16	190	463	16
16	190	463	17
16	190	449	18
16	190	444	19
16	190	418	20
16	190	418	21
16	190	364	22
16	190	360	23
16	190	360	24
16	190	323	25
16	190	274	26
16	190	274	27
16	190	253	28
16	190	253	29
16	190	253	30
16	190	253	31
16	190	253	32
16	190	253	33
16	190	252	34
16	190	252	35
16	190	252	36
16	190	252	37
16	190	252	38
16	190	252	39
16	190	252	40
16	190	252	41
16	190	251	42
16	190	251	43
16	190	251	44
16	190	251	45
16	190	251	46
16	190	251	47
16	190	251	48
16	190	251	49
16	190	251	50
16	190	251	51
16	190	251	52
16	190	251	53
16	190	251	54
16	190	251	55
16	190	190	56
16	190	190	57
16	190	190	58
16	190	190	59
16	190	190	60
